Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2023,Angels,101,101,99,100,97,101,105,102,100,100,100,102,92,101
2023,Orioles,99,97,94,103,96,101,99,99,97,100,100,103,98,99
2023,Red Sox,104,104,106,104,109,115,98,98,101,103,98,99,101,100
2023,White Sox,100,101,99,100,96,87,105,99,101,99,105,98,104,103
2023,Guardians,99,99,95,100,100,87,98,101,101,100,96,98,96,99
2023,Tigers,100,102,105,100,100,118,96,98,102,99,102,101,108,100
2023,Royals,103,105,107,103,108,123,95,97,101,103,101,105,96,100
2023,Twins,101,100,101,101,105,93,99,100,103,99,101,97,103,100
2023,Yankees,99,100,99,97,95,85,104,100,101,98,105,97,102,102
2023,Athletics,96,97,95,100,100,100,90,100,100,100,100,101,101,97
2023,Mariners,94,93,95,95,93,79,96,104,97,97,99,96,105,96
2023,Rays,96,98,98,96,98,102,96,102,101,97,99,96,100,97
2023,Rangers,99,101,109,98,100,93,102,101,100,99,102,100,97,101
2023,Blue Jays,99,99,95,98,102,90,103,100,99,100,100,101,100,101
2023,Diamondbacks,101,100,97,103,105,120,91,99,99,103,98,105,97,97
2023,Braves,100,99,102,101,99,100,99,102,99,101,98,101,94,98
2023,Cubs,98,95,102,100,94,109,98,101,99,100,97,100,100,98
2023,Reds,105,104,100,101,101,84,114,101,102,99,101,101,109,105
2023,Rockies,113,114,115,108,111,135,107,96,102,107,97,109,92,105
2023,Marlins,101,106,103,102,101,109,97,100,102,102,99,101,97,100
2023,Astros,99,100,98,99,100,110,102,102,100,99,97,101,99,100
2023,Dodgers,99,97,93,96,98,84,110,100,97,98,101,96,98,103
2023,Brewers,99,99,102,96,97,105,104,104,101,96,103,97,103,100
2023,Nationals,100,100,103,100,99,96,100,98,98,100,102,99,101,100
2023,Mets,96,96,96,97,94,87,99,101,102,97,101,96,110,99
2023,Phillies,101,101,100,99,97,102,105,101,100,99,100,100,104,102
2023,Pirates,102,103,101,103,105,98,93,97,101,101,102,103,97,100
2023,Cardinals,98,100,104,101,99,89,94,97,97,101,101,99,103,98
2023,Padres,96,95,96,97,95,86,101,102,100,98,102,98,104,99
2023,Giants,97,96,92,102,102,110,91,98,97,104,97,98,94,96
