Year,Player,Pos,Salary
2002,"Rodriguez, Alex",3b,21000000.0
2002,"Delgado, Carlos",1b,19400000.0
2002,"Ramirez, Manny",lf-dh,15462727.0
2002,"Bonds, Barry",of,15000000.0
2002,"Brown, Kevin",rhp,15000000.0
2002,"Sosa, Sammy",of,15000000.0
2002,"Jeter, Derek",ss,14600000.0
2002,"Martinez, Pedro J.",rhp,14000000.0
2002,"Green, Shawn",of,13416667.0
2002,"Johnson, Randy",lhp-s,13350000.0
2002,"Mondesi, Raul",of,13333333.0
2002,"Maddux, Greg",rhp,13100000.0
2002,"Walker, Larry",of,12666667.0
2002,"Belle, Albert",of,12368790.0
2002,"Williams, Bernie",of,12357143.0
2002,"Vaughn, Mo",1b,12166667.0
2002,"Jones, Chipper",3b,11333333.0
2002,"Bagwell, Jeff",1b,11000000.0
2002,"Gonzalez, Juan",of,11000000.0
2002,"Mussina, Mike",rhp,11000000.0
2002,"Piazza, Mike",c,10571429.0
2002,"Giambi, Jason",dh-1b,10428571.0
2002,"Clemens, Roger",rhp,10300000.0
2002,"Jones, Andruw",rf-lf,10000000.0
2002,"Schilling, Curt",rhp,10000000.0
2002,"Thomas, Frank",dh,9927000.0
2002,"Sheffield, Gary",rf,9916667.0
2002,"Rodriguez, Ivan",c,9600000.0
2002,"Hampton, Mike",lhp-s,9503543.0
2002,"Pettitte, Andy",lhp-s,9500000.0
2002,"Williams, Matt",3b,9500000.0
2002,"Rivera, Mariano",rhp,9450000.0
2002,"Dreifort, Darren",sp,9400000.0
2002,"Leiter, Al",lhp,9250000.0
2002,"Salmon, Tim",of,9250000.0
2002,"Appier, Kevin",rhp,9000000.0
2002,"Garciaparra, Nomar",3b-1b,9000000.0
2002,"Larkin, Barry",ss,9000000.0
2002,"Biggio, Craig",of,8750000.0
2002,"Radke, Brad",sp,8750000.0
2002,"Vaughn, Greg",of-dh,8750000.0
2002,"Palmiero, Rafael",1b,8712986.0
2002,"Glavine, Tom",lhp-s,8623700.0
2002,"Rolen, Scott",3b,8600000.0
2002,"Griffey Jr., Ken",dh-rf,8557223.0
2002,"Ventura, Robin",mgr,8500000.0
