team_id,league,full_name,years_active
ACY,IND,ACY,
AGS,IND,AGS,
ALM,IND,ALM,
ALN,IND,ALN,
ALS,IND,ALS,
ASD,IND,ASD,
ASE,IND,ASE,
ASF,IND,ASF,
ASO,IND,ASO,
ASP,IND,ASP,
AST,IND,AST,
ASW,IND,ASW,
ATN,ECL,ATN,
BCG,IND,BCG,
BFA,IND,BFA,
BIR,NAL,BIR,
BIS,IND,BIS,
BKB,IND,BKB,
BLF,IND,BLF,
BLG,NAL,BLG,
BLS,NSL,BLS,
BRF,IND,BRF,
BRG,ECL,BRG,
BRN,NSL,BRN,
BRS,IND,BRS,
BUF,IND,BUF,
CAG,NNL,CAG,
CB1,IND,CB1,
CCB,ECL,CCB,
CCR,IND,CCR,
CDA,IND,CDA,
CHF,IND,CHF,
CHM,IND,CHM,
CI1,NSL,CI1,
CI2,NSL,CI2,
CIA,NAL,CIA,
CLG,IND,CLG,
CNN,IND,CNN,
CUE,IND,CUE,
CUS,IND,CUS,
CUW,IND,CUW,
CUX,NNL,CUX,
CV6,IND,CV6,
CV9,NSL,CV9,
CVB,NAL,CVB,
DT1,NNL,DT1,
DT2,IND,DT2,
ECG,IND,ECG,
GLK,IND,GLK,
HAE,IND,HAE,
HIL,ECL,HIL,
HOE,NSL,HOE,
HOM,NN2,HOM,
HSL,IND,HSL,
HWS,IND,HWS,
IN4,IND,IN4,
IN6,IND,IN6,
IN7,IND,IN7,
IN8,IND,IN8,
IN9,NAL,IN9,
IND,IND,IND,
JAX,NAL,JAX,
KC1,IND,KC1,
KCF,IND,KCF,
KCM,NAL,KCM,
LCB,NAL,LCB,
MEM,NAL,MEM,
MLN,IND,MLN,
MLS,IND,MLS,
NAL,IND,NAL,
NAS,IND,NAS,
NEW,IND,NEW,
NLS,IND,NLS,
NNL,IND,NNL,
NNS,IND,NNS,
NSH,NSL,NSH,
NW1,IND,NW1,
NW2,NN2,NW2,
NY5,NN2,NY5,
NY6,NN2,NY6,
NYL,IND,NYL,
PH5,NAL,PH5,
PH6,IND,PH6,
PHB,IND,PHB,
PHG,NN2,PHG,
PIR,IND,PIR,
PRG,NN2,PRG,
PRK,IND,PRK,
PTC,NN2,PTC,
PTF,IND,PTF,
SAS,IND,SAS,
SDO,IND,SDO,
SE1,IND,SE1,
SHR,IND,SHR,
SLF,IND,SLF,
SLG,IND,SLG,
SNO,NSL,SNO,
SPZ,IND,SPZ,
SSA,IND,SSA,
SSN,NNL,SSN,
STA,IND,STA,
TLC,IND,TLC,
TWA,IND,TWA,
VMA,IND,VMA,
WBS,IND,WBS,
WEG,NN2,WEG,
WS2,IND,WS2,
WSW,IND,WSW,
