playerID,awardID,yearID,lgID,tie,notes
bettsmo01,Player of the Month,2016,AL,,July
bettsmo01,Gold Glove,2016,AL,,OF
bettsmo01,TSN All-Star,2016,AL,,OF
bettsmo01,Silver Slugger,2016,AL,,OF
bettsmo01,TSN All-Star,2017,AL,,OF
bettsmo01,Player of the Week,2017,AL,,Week of 2017-07-01
bettsmo01,Gold Glove,2017,AL,,RF
bettsmo01,Player of the Week,2017,AL,,Week of 2017-05-13
bettsmo01,TSN Major League Player of the Year,2018,ML,,
bettsmo01,Gold Glove,2018,AL,,RF
bettsmo01,MLB Players Choice Outstanding Player,2018,AL,,
bettsmo01,Most Valuable Player,2018,AL,,
bettsmo01,Silver Slugger,2018,AL,,OF
bettsmo01,TSN All-Star,2018,AL,,OF
bettsmo01,Gold Glove,2019,AL,,RF
bettsmo01,All-MLB Team - Second Team,2019,ML,,OF
bettsmo01,TSN All-Star,2019,AL,,OF
bettsmo01,Silver Slugger,2019,AL,,OF
bettsmo01,All-MLB Team - First Team,2020,ML,,OF
bettsmo01,Silver Slugger,2020,NL,,OF
bettsmo01,Gold Glove,2020,NL,,RF
bettsmo01,TSN All-Star,2020,NL,,OF
bettsmo01,Silver Slugger,2022,NL,,OF
bettsmo01,Player of the Week,2022,NL,,Week of 2022-08-27
bettsmo01,All-MLB Team - First Team,2022,ML,,OF
bettsmo01,Gold Glove,2022,NL,,OF
bettsmo01,TSN All-Star,2022,NL,,OF
bettsmo01,All-MLB Team - First Team,2023,ML,,OF
bettsmo01,TSN All-Star,2023,NL,,OF
bettsmo01,Player of the Month,2023,NL,,August
bettsmo01,Silver Slugger,2023,NL,,OF
bettsmo01,Player of the Week,2023,NL,,Week of 2023-08-26
bettsmo01,TSN All-Star,2024,NL,Y,OF
bettsmo01,All-MLB Team - First Team,2024,ML,,OF
bettsmo01,Player of the Month,2024,NL,,April
donaljo02,Player of the Week,2016,AL,,Week of 2016-06-18
donaljo02,TSN All-Star,2016,AL,,3B
donaljo02,Silver Slugger,2016,AL,,3B
donaljo02,Comeback Player of the Year,2019,NL,,
donaljo02,TSN Comeback Player of the Year,2019,NL,,
donaljo02,MLB Players Choice Comeback Player,2019,NL,,
freemfr01,Player of the Week,2016,NL,,Week of 2016-09-03
freemfr01,Player of the Week,2016,NL,,Week of 2016-09-24
freemfr01,Player of the Month,2016,NL,,September
freemfr01,TSN All-Star,2016,NL,,1B
freemfr01,Player of the Week,2016,NL,,Week of 2016-06-18
freemfr01,TSN All-Star,2018,NL,,1B
freemfr01,Gold Glove,2018,NL,Y,1B
freemfr01,Silver Slugger,2019,NL,,1B
freemfr01,All-MLB Team - Second Team,2019,ML,,1B
freemfr01,TSN All-Star,2019,NL,,1B
freemfr01,Most Valuable Player,2020,NL,,
freemfr01,MLB Players Choice Outstanding Player,2020,NL,,
freemfr01,Player of the Month,2020,NL,,September
freemfr01,Hank Aaron Award,2020,NL,,
freemfr01,TSN All-Star,2020,NL,,1B
freemfr01,All-MLB Team - First Team,2020,ML,,1B
freemfr01,Silver Slugger,2020,NL,,1B
freemfr01,MLB Players Choice Player of the Year,2020,ML,,
freemfr01,Silver Slugger,2021,NL,,1B
freemfr01,Babe Ruth Award,2021,ML,,
freemfr01,All-MLB Team - Second Team,2021,ML,,1B
freemfr01,TSN All-Star,2021,NL,,1B
freemfr01,Player of the Month,2022,NL,Y,September
freemfr01,All-MLB Team - Second Team,2022,ML,,1B
freemfr01,Player of the Week,2022,NL,,Week of 2022-06-25
freemfr01,Player of the Week,2022,NL,,Week of 2022-07-16
freemfr01,Player of the Week,2022,NL,,Week of 2022-09-10
freemfr01,Player of the Week,2023,NL,,Week of 2023-08-05
freemfr01,Player of the Month,2023,NL,,May
freemfr01,All-MLB Team - First Team,2023,ML,,1B
freemfr01,TSN All-Star,2023,NL,,1B
freemfr01,World Series MVP,2024,ML,,
judgeaa01,Rookie of the Year,2017,AL,,
judgeaa01,Rookie of the Month,2017,AL,,May
judgeaa01,Player of the Week,2017,AL,,Week of 2017-06-10
judgeaa01,Player of the Week,2017,AL,,Week of 2017-09-23
judgeaa01,TSN Rookie of the Year,2017,AL,,
judgeaa01,Player of the Month,2017,AL,,June
judgeaa01,Player of the Month,2017,AL,,September
judgeaa01,TSN All-Star,2017,AL,,OF
judgeaa01,Silver Slugger,2017,AL,,OF
judgeaa01,Rookie of the Month,2017,AL,,September
judgeaa01,MLB Players Choice Outstanding Rookie,2017,AL,,
judgeaa01,This Year in Baseball Best Rookie,2017,ML,,Esurance
judgeaa01,Rookie of the Month,2017,AL,,June
judgeaa01,Rookie of the Month,2017,AL,,April
judgeaa01,TSN All-Star,2018,AL,,OF
judgeaa01,Player of the Week,2020,AL,,Week of 2020-08-01
judgeaa01,Player of the Week,2021,AL,,Week of 2021-05-15
judgeaa01,TSN All-Star,2021,AL,,OF
judgeaa01,All-MLB Team - First Team,2021,ML,,OF
judgeaa01,Silver Slugger,2021,AL,,OF
judgeaa01,MLB Players Choice Outstanding Player,2022,AL,,
judgeaa01,All-MLB Team - First Team,2022,ML,,OF
judgeaa01,Hank Aaron Award,2022,AL,,
judgeaa01,MLB Players Choice Player of the Year,2022,ML,,
judgeaa01,Most Valuable Player,2022,AL,,
judgeaa01,Player of the Month,2022,AL,,July
judgeaa01,Player of the Month,2022,AL,,May
judgeaa01,Player of the Month,2022,AL,,September
judgeaa01,Player of the Week,2022,AL,,Week of 2022-07-23
judgeaa01,Player of the Week,2022,AL,,Week of 2022-07-30
judgeaa01,Player of the Week,2022,AL,Y,Week of 2022-10-04
judgeaa01,Silver Slugger,2022,AL,,OF
judgeaa01,TSN All-Star,2022,AL,,OF
judgeaa01,TSN Major League Player of the Year,2022,ML,,
judgeaa01,All-MLB Team - Second Team,2023,ML,,OF
judgeaa01,Player of the Week,2023,AL,,Week of 2023-05-20
judgeaa01,Player of the Week,2023,AL,,Week of 2023-09-23
judgeaa01,Player of the Month,2023,AL,,May
judgeaa01,Roberto Clemente Award,2023,ML,,
judgeaa01,TSN All-Star,2024,AL,,OF
judgeaa01,Silver Slugger,2024,AL,,OF
judgeaa01,MLB Players Choice Player of the Year,2024,ML,,
judgeaa01,MLB Players Choice Outstanding Player,2024,AL,,
judgeaa01,Hank Aaron Award,2024,AL,,
judgeaa01,All-MLB Team - First Team,2024,ML,,OF
judgeaa01,Player of the Week,2024,AL,,Week of 2024-05-18
judgeaa01,Player of the Week,2024,AL,,Week of 2024-06-08
judgeaa01,Player of the Week,2024,AL,,Week of 2024-08-24
judgeaa01,Player of the Month,2024,AL,,May
judgeaa01,Player of the Month,2024,AL,,June
judgeaa01,Player of the Month,2024,AL,,August
judgeaa01,Most Valuable Player,2024,AL,,
