playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abreual01,2023,1,NYA,AL,P,45,0,177,6,4,2,0,,,,,
adcocty01,2023,1,SEA,AL,P,12,0,47,1,3,0,0,,,,,
allengr01,2023,1,NYA,AL,OF,19,6,249,18,0,0,0,,,,,
almonye01,2023,1,LAN,NL,P,49,0,144,1,1,0,0,,,,,
baderha01,2023,1,NYA,AL,OF,83,76,2020,204,3,6,0,,,,,
barneau01,2023,1,LAN,NL,2B,1,0,3,0,0,0,0,,,,,
barneau01,2023,1,LAN,NL,C,53,52,1357,461,6,3,1,3,14,63,8,
bauerja01,2023,1,NYA,AL,1B,22,20,511,144,4,0,14,,,,,
bauerja01,2023,1,NYA,AL,OF,56,46,1103,70,2,3,0,,,,,
berropr01,2023,1,SEA,AL,P,2,0,5,0,0,0,0,,,,,
bettsmo01,2023,1,LAN,NL,2B,70,62,1455,87,136,2,33,,,,,
bettsmo01,2023,1,LAN,NL,OF,107,77,2105,141,8,0,1,,,,,
bettsmo01,2023,1,LAN,NL,SS,16,12,294,16,27,3,4,,,,,
brashma01,2023,1,SEA,AL,P,78,0,212,4,10,0,0,,,,,
brasiry01,2023,2,LAN,NL,P,39,0,116,3,1,1,0,,,,,
breweco01,2023,1,NYA,AL,P,3,0,25,2,1,0,0,,,,,
bruihju01,2023,1,LAN,NL,P,20,0,73,1,2,0,0,,,,,
bukaujb01,2023,1,SEA,AL,P,1,0,3,1,0,0,0,,,,,
cabaljo01,2023,1,SEA,AL,2B,64,53,1401,84,152,4,36,,,,,
cabaljo01,2023,1,SEA,AL,3B,9,4,129,1,6,0,1,,,,,
cabaljo01,2023,1,SEA,AL,OF,1,0,6,0,0,0,0,,,,,
cabaljo01,2023,1,SEA,AL,SS,21,13,397,23,47,2,14,,,,,
cabreos01,2023,1,NYA,AL,1B,1,0,3,1,0,0,0,,,,,
cabreos01,2023,1,NYA,AL,2B,6,3,90,1,10,1,3,,,,,
cabreos01,2023,1,NYA,AL,3B,15,13,337,8,27,1,5,,,,,
cabreos01,2023,1,NYA,AL,OF,101,59,1767,118,1,1,1,,,,,
cabreos01,2023,1,NYA,AL,SS,5,5,117,6,10,2,3,,,,,
calhowi01,2023,1,NYA,AL,OF,12,10,225,10,0,0,0,,,,,
castidi01,2023,1,SEA,AL,P,8,0,26,0,0,0,0,,,,,
castilu02,2023,1,SEA,AL,P,33,33,591,16,7,0,0,,,,,
cordefr02,2023,1,NYA,AL,OF,22,19,483,34,1,0,0,,,,,
cordeji01,2023,1,NYA,AL,P,31,1,98,0,3,1,0,,,,,
cortene01,2023,1,NYA,AL,P,12,12,190,5,5,0,0,,,,,
festama01,2023,1,SEA,AL,P,8,0,27,1,0,0,0,,,,,
fordmi01,2023,1,SEA,AL,1B,10,5,171,43,3,0,3,,,,,
fordmi01,2023,1,SEA,AL,P,2,0,6,1,0,0,0,,,,,
francty01,2023,1,SEA,AL,1B,158,154,4080,1106,104,1,106,,,,,
garcide01,2023,1,NYA,AL,P,2,0,17,2,0,0,0,,,,,
gilbelo01,2023,1,SEA,AL,P,32,32,572,19,12,0,1,,,,,
gonzavi02,2023,1,LAN,NL,P,34,1,101,2,4,0,0,,,,,
gotttr01,2023,1,SEA,AL,P,30,0,87,1,4,0,0,,,,,
gratebr01,2023,1,LAN,NL,P,68,1,202,6,14,2,3,,,,,
haggesa01,2023,1,SEA,AL,1B,4,3,81,23,2,1,2,,,,,
haggesa01,2023,1,SEA,AL,2B,10,5,147,6,9,0,3,,,,,
haggesa01,2023,1,SEA,AL,OF,22,9,284,19,1,0,0,,,,,
hamilia01,2023,1,NYA,AL,P,39,3,174,8,7,0,1,,,,,
hernate01,2023,1,SEA,AL,OF,135,131,3481,249,12,3,7,,,,,
hernayo02,2023,1,LAN,NL,2B,8,1,84,6,8,0,3,,,,,
hernayo02,2023,1,LAN,NL,3B,3,3,69,2,5,0,2,,,,,
hernayo02,2023,1,LAN,NL,P,1,0,3,0,0,0,0,,,,,
heywaja01,2023,1,LAN,NL,1B,6,0,33,7,2,0,0,,,,,
heywaja01,2023,1,LAN,NL,OF,120,93,2307,190,1,5,0,,,,,
hicksaa01,2023,1,NYA,AL,OF,26,20,547,33,0,0,0,,,,,
higasky01,2023,1,NYA,AL,C,90,71,1926,663,14,9,1,5,32,55,11,
holmecl01,2023,1,NYA,AL,P,66,0,189,4,8,1,0,,,,,
jacksan01,2023,1,LAN,NL,P,7,0,53,5,2,0,0,,,,,
kelenja01,2023,1,SEA,AL,OF,108,96,2601,183,1,3,0,,,,,
kellyjo05,2023,2,LAN,NL,P,11,0,31,0,2,1,1,,,,,
kingmi01,2023,1,NYA,AL,P,49,9,314,11,9,0,0,,,,,
kirbyge01,2023,1,SEA,AL,P,31,31,572,18,12,0,1,,,,,
lemahdj01,2023,1,NYA,AL,1B,56,50,1373,381,32,2,36,,,,,
lemahdj01,2023,1,NYA,AL,2B,9,9,216,8,17,0,3,,,,,
lemahdj01,2023,1,NYA,AL,3B,69,67,1778,35,136,1,12,,,,,
leonedo01,2023,3,SEA,AL,P,9,0,31,1,0,0,0,,,,,
mcgeeea01,2023,1,SEA,AL,P,1,1,20,1,0,0,0,,,,,
middlke01,2023,2,NYA,AL,P,12,0,43,1,2,0,0,,,,,
millebo05,2023,1,LAN,NL,P,22,22,373,16,9,2,1,,,,,
millebr04,2023,1,SEA,AL,P,25,25,394,8,9,1,0,,,,,
millesh01,2023,1,LAN,NL,P,36,1,126,4,3,0,1,,,,,
millety01,2023,2,LAN,NL,P,1,0,6,0,0,0,0,,,,,
millety01,2023,4,LAN,NL,P,1,0,6,0,0,0,0,,,,,
montafr01,2023,1,NYA,AL,P,1,0,4,0,1,0,0,,,,,
mooredy01,2023,1,SEA,AL,1B,4,0,16,4,1,1,0,,,,,
mooredy01,2023,1,SEA,AL,2B,23,9,326,21,24,1,9,,,,,
mooredy01,2023,1,SEA,AL,3B,1,0,6,1,0,0,0,,,,,
mooredy01,2023,1,SEA,AL,OF,30,22,552,43,0,1,0,,,,,
mooredy01,2023,1,SEA,AL,SS,9,5,171,6,16,2,4,,,,,
muncyma01,2023,1,LAN,NL,3B,124,121,3156,63,206,16,23,,,,,
