date,game_number,day_of_week,visiting_team,visiting_team_league,visiting_team_game_number,home_team,home_team_league,home_team_game_number,visiting_score,home_score,game_length_outs,day_night,completion_info,forfeit_info,protest_info,park_id,attendance,game_time_minutes,visiting_line_score,home_line_score,visiting_at_bats,visiting_hits,visiting_doubles,visiting_triples,visiting_homeruns,visiting_rbi,visiting_sac_hits,visiting_sac_flies,visiting_hit_by_pitch,visiting_walks,visiting_int_walks,visiting_strikeouts,visiting_stolen_bases,visiting_caught_stealing,visiting_gdp,visiting_interference,visiting_lob,visiting_pitchers_used,visiting_ind_er,visiting_team_er,visiting_wild_pitches,visiting_balks,visiting_putouts,visiting_assists,visiting_errors,visiting_passed_balls,visiting_double_plays,visiting_triple_plays,home_at_bats,home_hits,home_doubles,home_triples,home_homeruns,home_rbi,home_sac_hits,home_sac_flies,home_hit_by_pitch,home_walks,home_int_walks,home_strikeouts,home_stolen_bases,home_caught_stealing,home_gdp,home_interference,home_lob,home_pitchers_used,home_ind_er,home_team_er,home_wild_pitches,home_balks,home_putouts,home_assists,home_errors,home_passed_balls,home_double_plays,home_triple_plays,hp_ump_id,hp_ump_name,b1_ump_id,b1_ump_name,b2_ump_id,b2_ump_name,b3_ump_id,b3_ump_name,lf_ump_id,lf_ump_name,rf_ump_id,rf_ump_name,v_manager_id,v_manager_name,h_manager_id,h_manager_name,winning_pitcher_id,winning_pitcher_name,losing_pitcher_id,losing_pitcher_name,saving_pitcher_id,saving_pitcher_name,goahead_rbi_id,goahead_rbi_name,v_starting_pitcher_id,v_starting_pitcher_name,h_starting_pitcher_id,h_starting_pitcher_name,v_player_1_id,v_player_1_name,v_player_1_pos,v_player_2_id,v_player_2_name,v_player_2_pos,v_player_3_id,v_player_3_name,v_player_3_pos,v_player_4_id,v_player_4_name,v_player_4_pos,v_player_5_id,v_player_5_name,v_player_5_pos,v_player_6_id,v_player_6_name,v_player_6_pos,v_player_7_id,v_player_7_name,v_player_7_pos,v_player_8_id,v_player_8_name,v_player_8_pos,v_player_9_id,v_player_9_name,v_player_9_pos,h_player_1_id,h_player_1_name,h_player_1_pos,h_player_2_id,h_player_2_name,h_player_2_pos,h_player_3_id,h_player_3_name,h_player_3_pos,h_player_4_id,h_player_4_name,h_player_4_pos,h_player_5_id,h_player_5_name,h_player_5_pos,h_player_6_id,h_player_6_name,h_player_6_pos,h_player_7_id,h_player_7_name,h_player_7_pos,h_player_8_id,h_player_8_name,h_player_8_pos,h_player_9_id,h_player_9_name,h_player_9_pos,additional_info,acquisition_info,game_id,game_type,search_text,search_tsv,temp_f,sky,wind_direction,wind_speed_mph,precip,field_condition,start_time,used_dh
20230910,0,Sun,MIL,NL,142,NYA,AL,143,3,4,76,D,"","","",NYC21,41702,213,0000000000120,0000000000121,43,6,2,0,0,3,0,1,0,3,0,12,0,0,1,0,9,6,1,1,0,0,37,11,0,0,0,0,40,3,2,0,1,4,0,0,0,5,1,15,1,0,0,0,8,6,1,1,2,0,39,14,0,0,1,0,herna901,Angel Hernandez,hoyej901,James Hoye,libkj901,John Libka,reybd901,D.J. Reyburn,"",(none),"",(none),counc001,Craig Counsell,boona001,Aaron Boone,misia001,Anthony Misiewicz,milnh001,Hoby Milner,"",(none),higak001,Kyle Higashioka,burnc002,Corbin Burnes,coleg001,Gerrit Cole,frels001,Sal Frelick,8,contw002,William Contreras,10,santc002,Carlos Santana,3,canhm001,Mark Canha,9,adamw002,Willy Adames,6,monaa001,Andruw Monasterio,5,carav001,Victor Caratini,2,turab002,Brice Turang,4,taylt002,Tyrone Taylor,7,lemad001,DJ LeMahieu,3,judga001,Aaron Judge,9,torrg001,Gleyber Torres,4,stanm004,Giancarlo Stanton,10,kinei001,Isiah Kiner-Falefa,8,volpa001,Anthony Volpe,6,peree005,Everson Pereira,7,cabro002,Oswaldo Cabrera,5,rortb001,Ben Rortvedt,2,"",Y,NYA202309100,regular,20230910 2023 NYA MIL yankees brewers regular regular season NYC21 September 10 2023 Sun,"'10':12 '2023':2,13 '20230910':1 'brewer':6 'mil':4 'nya':3 'nyc21':10 'regular':7,8 'season':9 'septemb':11 'sun':14 'yanke':5",70,cloudy,,6,none,,13:35:00,t
20230515,0,Mon,MIN,AL,42,LAN,NL,42,8,9,71,N,"","","",LOS03,49749,228,010100131100,302000110101,49,13,2,0,2,7,0,0,0,7,1,15,1,0,0,0,15,6,7,7,0,0,35,11,2,0,0,0,45,11,3,0,3,9,0,0,0,4,2,11,2,0,0,1,9,7,7,7,1,0,36,9,0,0,0,0,cuzzp901,Phil Cuzzi,lives901,Shane Livensparger,belld901,Dan Bellino,willr901,Ryan Wills,"",(none),"",(none),baldr001,Rocco Baldelli,robed001,Dave Roberts,bickp001,Phil Bickford,lopej004,Jorge Lopez,"",(none),thomt002,Trayce Thompson,lopep002,Pablo Lopez,syndn001,Noah Syndergaard,gallj002,Joey Gallo,7,kiria001,Alex Kirilloff,3,corrc001,Carlos Correa,6,buxtb001,Byron Buxton,10,polaj001,Jorge Polanco,4,larnt001,Trevor Larnach,9,farmk001,Kyle Farmer,5,gordn001,Nick Gordon,8,vazqc001,Christian Vazquez,2,bettm001,Mookie Betts,9,freef001,Freddie Freeman,3,smitw003,Will Smith,2,muncm001,Max Muncy,5,martj006,J.D. Martinez,10,heywj001,Jason Heyward,8,vargm001,Miguel Vargas,4,perad001,David Peralta,7,rojam002,Miguel Rojas,6,"",Y,LAN202305150,regular,20230515 2023 LAN MIN dodgers twins regular regular season LOS03 May       15 2023 Mon,"'15':12 '2023':2,13 '20230515':1 'dodger':5 'lan':3 'los03':10 'may':11 'min':4 'mon':14 'regular':7,8 'season':9 'twin':6",65,cloudy,tocf,5,none,,19:10:00,t
20230409,0,Sun,SEA,AL,10,CLE,AL,10,6,7,70,D,"","","",CLE08,12716,228,200000001021,100000002022,44,9,2,0,1,6,0,1,0,6,1,13,3,0,1,0,12,7,4,4,2,0,34,9,1,0,0,0,43,9,2,1,0,7,0,1,0,7,5,11,2,0,0,0,13,7,4,4,3,0,36,16,1,1,1,0,reybd901,D.J. Reyburn,libkj901,John Libka,tomln901,Nate Tomlinson,hoyej901,James Hoye,"",(none),"",(none),servs002,Scott Servais,frant001,Terry Francona,herrt002,Tim Herrin,murfp001,Penn Murfee,"",(none),bellj005,Josh Bell,kirbg001,George Kirby,plesz001,Zach Plesac,rodrj007,Julio Rodriguez,8,frant002,Ty France,3,suare001,Eugenio Suarez,5,ralec001,Cal Raleigh,2,hernt002,Teoscar Hernandez,10,kelej001,Jarred Kelenic,9,polla001,A.J. Pollock,7,wongk001,Kolten Wong,4,crawj002,J.P. Crawford,6,kwans001,Steven Kwan,7,rosaa003,Amed Rosario,6,ramij003,Jose Ramirez,5,naylj001,Josh Naylor,10,gimea001,Andres Gimenez,4,bellj005,Josh Bell,3,brenw002,Will Brennan,9,stram002,Myles Straw,8,gallc001,Cam Gallagher,2,"",Y,CLE202304090,regular,20230409 2023 CLE SEA guardians mariners regular regular season CLE08 April     09 2023 Sun,"'09':12 '2023':2,13 '20230409':1 'april':11 'cle':3 'cle08':10 'guardian':5 'marin':6 'regular':7,8 'sea':4 'season':9 'sun':14",52,sunny,fromcf,7,none,,13:40:00,t
20230616,0,Fri,SFN,NL,69,LAN,NL,70,7,5,66,N,"","","",LOS03,49074,211,00000023002,00004000100,39,8,0,0,1,7,0,1,2,6,1,8,1,0,1,0,10,8,5,5,0,0,33,18,3,0,0,0,42,10,1,0,0,5,0,0,1,4,1,11,1,1,0,0,11,7,6,6,0,0,33,8,1,0,1,0,tomln901,Nate Tomlinson,segac901,Chris Segal,rackd901,David Rackley,mosce901,Edwin Moscoso,"",(none),"",(none),kaplg001,Gabe Kapler,robed001,Dave Roberts,roget001,Taylor Rogers,vesia001,Alex Vesia,junij001,Jake Junis,crawb001,Brandon Crawford,brebj001,John Brebbia,sheee001,Emmet Sheehan,wadel001,LaMonte Wade,3,pedej001,Joc Pederson,10,estrt001,Thairo Estrada,4,confm001,Michael Conforto,7,florw001,Wilmer Flores,5,bailp001,Patrick Bailey,2,yastm001,Mike Yastrzemski,9,matol002,Luis Matos,8,crawb001,Brandon Crawford,6,bettm001,Mookie Betts,9,freef001,Freddie Freeman,3,smitw003,Will Smith,2,martj006,J.D. Martinez,10,perad001,David Peralta,7,vargm001,Miguel Vargas,4,taylc001,Chris Taylor,5,deluj001,Jonny DeLuca,8,rojam002,Miguel Rojas,6,"",Y,LAN202306160,regular,20230616 2023 LAN SFN dodgers giants regular regular season LOS03 June      16 2023 Fri,"'16':12 '2023':2,13 '20230616':1 'dodger':5 'fri':14 'giant':6 'june':11 'lan':3 'los03':10 'regular':7,8 'season':9 'sfn':4",69,sunny,tocf,7,none,,19:10:00,t
20230724,0,Mon,TOR,AL,101,LAN,NL,99,6,3,66,N,"","","",LOS03,47731,208,00002001003,10010001000,44,13,2,0,1,6,0,0,0,3,0,14,0,1,2,0,10,6,3,3,1,0,33,12,0,0,1,0,39,7,2,0,2,3,0,0,0,7,1,9,0,0,1,0,12,7,4,4,0,0,33,11,2,0,2,0,segac901,Chris Segal,buckc901,CB Bucknor,may-b901,Ben May,nelsj901,Jeff Nelson,"",(none),"",(none),schnj801,John Schneider,robed001,Dave Roberts,jackj001,Jay Jackson,bickp001,Phil Bickford,romaj004,Jordan Romano,varsd001,Daulton Varsho,berrj001,Jose Berrios,grovm001,Michael Grove,sprig001,George Springer,9,guerv002,Vladimir Guerrero,10,beltb001,Brandon Belt,3,chapm001,Matt Chapman,5,merrw001,Whit Merrifield,4,varsd001,Daulton Varsho,7,kirka001,Alejandro Kirk,2,espis001,Santiago Espinal,6,kierk001,Kevin Kiermaier,8,bettm001,Mookie Betts,4,freef001,Freddie Freeman,3,smitw003,Will Smith,2,muncm001,Max Muncy,10,perad001,David Peralta,7,heywj001,Jason Heyward,9,taylc001,Chris Taylor,6,outmj002,James Outman,8,herny003,Yonny Hernandez,5,"",Y,LAN202307240,regular,20230724 2023 LAN TOR dodgers blue jays regular regular season LOS03 July      24 2023 Mon,"'2023':2,14 '20230724':1 '24':13 'blue':6 'dodger':5 'jay':7 'juli':12 'lan':3 'los03':11 'mon':15 'regular':8,9 'season':10 'tor':4",78,sunny,ltor,5,none,,19:10:00,t
20230916,0,Sat,LAN,NL,147,SEA,AL,148,6,2,66,N,"","","",SEA03,45818,208,00000000015,00000000011,41,10,3,0,0,6,0,1,1,3,1,10,1,0,1,0,9,7,0,0,1,0,33,8,1,0,0,0,40,7,2,0,0,1,0,0,0,3,1,15,0,1,0,0,10,7,4,4,0,0,33,10,0,0,1,0,moorm901,Malachi Moore,drecb901,Bruce Dreckman,becka901,Adam Beck,wegnm901,Mark Wegner,"",(none),"",(none),robed001,Dave Roberts,servs002,Scott Servais,phile001,Evan Phillips,speig001,Gabe Speier,"",(none),muncm001,Max Muncy,kersc001,Clayton Kershaw,millb004,Bryce Miller,bettm001,Mookie Betts,4,freef001,Freddie Freeman,3,smitw003,Will Smith,2,muncm001,Max Muncy,5,martj006,J.D. Martinez,10,perad001,David Peralta,7,heywj001,Jason Heyward,9,outmj002,James Outman,8,rojam002,Miguel Rojas,6,crawj002,J.P. Crawford,6,rodrj007,Julio Rodriguez,8,hernt002,Teoscar Hernandez,10,ralec001,Cal Raleigh,2,suare001,Eugenio Suarez,5,frant002,Ty France,3,kelej001,Jarred Kelenic,9,moord002,Dylan Moore,4,haggs001,Sam Haggerty,7,"",Y,SEA202309160,regular,20230916 2023 SEA LAN mariners dodgers regular regular season SEA03 September 16 2023 Sat,"'16':12 '2023':2,13 '20230916':1 'dodger':6 'lan':4 'marin':5 'regular':7,8 'sat':14 'sea':3 'sea03':10 'season':9 'septemb':11",72,sunny,ltor,6,none,,18:40:00,t
20230418,0,Tue,MIL,NL,18,SEA,AL,18,6,5,66,N,"","","",SEA03,18206,187,10200100011,00400000010,38,6,2,0,2,5,0,0,0,3,1,15,0,0,2,0,4,6,4,4,1,0,33,10,0,0,1,0,37,7,1,0,0,5,0,2,1,6,0,10,1,0,1,0,10,6,4,4,0,0,33,10,0,0,2,0,wolfj901,Jim Wolf,muchm901,Mike Muchlinski,tomln901,Nate Tomlinson,porta901,Alan Porter,"",(none),"",(none),counc001,Craig Counsell,servs002,Scott Servais,wilsb003,Bryse Wilson,topaj001,Justin Topa,"",(none),adamw002,Willy Adames,rea-c001,Colin Rea,gilbl002,Logan Gilbert,yelic001,Christian Yelich,7,winkj002,Jesse Winker,10,adamw002,Willy Adames,6,tellr001,Rowdy Tellez,3,andeb006,Brian Anderson,5,mitcg001,Garrett Mitchell,8,carav001,Victor Caratini,2,turab002,Brice Turang,4,millo002,Owen Miller,9,rodrj007,Julio Rodriguez,8,frant002,Ty France,3,suare001,Eugenio Suarez,5,ralec001,Cal Raleigh,2,hernt002,Teoscar Hernandez,9,kelej001,Jarred Kelenic,7,lastt001,Tommy La Stella,10,cabaj001,Jose Caballero,6,wongk001,Kolten Wong,4,"",Y,SEA202304180,regular,20230418 2023 SEA MIL mariners brewers regular regular season SEA03 April     18 2023 Tue,"'18':12 '2023':2,13 '20230418':1 'april':11 'brewer':6 'marin':5 'mil':4 'regular':7,8 'sea':3 'sea03':10 'season':9 'tue':14",46,dome,,,none,,18:40:00,t
20230617,0,Sat,CHA,AL,72,SEA,AL,69,4,3,66,D,"","","",SEA03,45188,218,01001000101,20001000000,43,12,3,0,1,4,0,0,0,5,0,10,1,0,3,0,13,5,2,2,0,0,33,8,1,1,0,0,41,8,2,0,1,2,0,0,0,5,1,13,3,1,0,0,12,8,3,3,0,0,33,14,2,0,4,0,wolcq901,Quinn Wolcott,macka901,Alex MacKay,johna901,Adrian Johnson,gonzm901,Manny Gonzalez,"",(none),"",(none),grifp801,Pedro Grifol,servs002,Scott Servais,bumma001,Aaron Bummer,sauct001,Tayler Saucedo,schoj002,Jesse Scholtens,remiz001,Zach Remillard,gioll001,Lucas Giolito,gilbl002,Logan Gilbert,benia002,Andrew Benintendi,7,andet001,Tim Anderson,6,robel002,Luis Robert,8,jimee001,Eloy Jimenez,10,sheeg001,Gavin Sheets,9,vauga001,Andrew Vaughn,3,burgj001,Jake Burger,5,andre001,Elvis Andrus,4,zavas001,Seby Zavala,2,crawj002,J.P. Crawford,6,rodrj007,Julio Rodriguez,8,frant002,Ty France,3,hernt002,Teoscar Hernandez,10,kelej001,Jarred Kelenic,9,suare001,Eugenio Suarez,5,murpt002,Tom Murphy,2,moord002,Dylan Moore,7,cabaj001,Jose Caballero,4,"",Y,SEA202306170,regular,20230617 2023 SEA CHA mariners white sox regular regular season SEA03 June      17 2023 Sat,"'17':13 '2023':2,14 '20230617':1 'cha':4 'june':12 'marin':5 'regular':8,9 'sat':15 'sea':3 'sea03':11 'season':10 'sox':7 'white':6",53,dome,tocf,4,none,,13:10:00,t
20230625,0,Sun,HOU,AL,78,LAN,NL,77,6,5,66,D,"","","",LOS03,47273,184,02020000011,10000003010,40,10,1,0,2,6,0,0,0,2,0,7,3,1,1,0,5,6,4,4,0,0,33,17,0,0,1,0,37,6,2,0,2,5,0,1,1,2,0,12,2,0,1,0,5,7,4,4,1,0,33,14,1,0,2,0,wolcq901,Quinn Wolcott,valej901,Junior Valentine,navaj901,Jose Navas,gonzm901,Manny Gonzalez,"",(none),"",(none),baked002,Dusty Baker,robed001,Dave Roberts,presr001,Ryan Pressly,almoy001,Yency Almonte,marts003,Seth Martinez,brega001,Alex Bregman,browh001,Hunter Brown,gonst001,Tony Gonsolin,dubom001,Mauricio Dubon,4,brega001,Alex Bregman,5,tuckk001,Kyle Tucker,9,abrej003,Jose Abreu,3,mccoc001,Chas McCormick,7,penaj004,Jeremy Pena,6,julkc001,Corey Julks,10,meyej002,Jake Meyers,8,maldm001,Martin Maldonado,2,bettm001,Mookie Betts,4,freef001,Freddie Freeman,3,smitw003,Will Smith,2,martj006,J.D. Martinez,10,perad001,David Peralta,7,heywj001,Jason Heyward,9,outmj002,James Outman,8,rojam002,Miguel Rojas,6,buscm003,Michael Busch,5,"",Y,LAN202306250,regular,20230625 2023 LAN HOU dodgers astros regular regular season LOS03 June      25 2023 Sun,"'2023':2,13 '20230625':1 '25':12 'astro':6 'dodger':5 'hou':4 'june':11 'lan':3 'los03':10 'regular':7,8 'season':9 'sun':14",74,sunny,tocf,9,none,,16:10:00,t
20230627,0,Tue,WAS,NL,79,SEA,AL,78,7,4,66,N,"","","",SEA03,22671,208,10001011003,20010010000,39,9,2,0,1,6,0,1,1,6,0,12,3,0,1,0,9,5,4,4,0,0,33,9,0,0,2,0,37,7,1,0,1,4,0,1,0,6,2,9,0,0,2,0,9,7,5,5,0,0,33,8,1,0,1,0,millb903,Brennan Miller,thomd901,Derek Thomas,gibsh902,Tripp Gibson,carlm901,Mark Carlson,"",(none),"",(none),martd002,Dave Martinez,servs002,Scott Servais,weemj001,Jordan Weems,gottt001,Trevor Gott,"",(none),thoml002,Lane Thomas,irvij001,Jake Irvin,woo-b001,Bryan Woo,thoml002,Lane Thomas,9,garcl006,Luis Garcia,4,candj002,Jeimer Candelario,5,menej001,Joey Meneses,10,dickc002,Corey Dickerson,7,ruizk001,Keibert Ruiz,2,smitd008,Dominic Smith,3,abrac001,C. J. Abrams,6,hilld002,Derek Hill,8,crawj002,J.P. Crawford,6,rodrj007,Julio Rodriguez,8,frant002,Ty France,3,hernt002,Teoscar Hernandez,9,ralec001,Cal Raleigh,2,suare001,Eugenio Suarez,5,kelej001,Jarred Kelenic,7,fordm002,Mike Ford,10,wongk001,Kolten Wong,4,"",Y,SEA202306270,regular,20230627 2023 SEA WAS mariners nationals regular regular season SEA03 June      27 2023 Tue,"'2023':2,13 '20230627':1 '27':12 'june':11 'marin':5 'nation':6 'regular':7,8 'sea':3 'sea03':10 'season':9 'tue':14",73,cloudy,fromcf,5,none,,18:40:00,t
