date,game_number,day_of_week,visiting_team,visiting_team_league,visiting_team_game_number,home_team,home_team_league,home_team_game_number,visiting_score,home_score,game_length_outs,day_night,completion_info,forfeit_info,protest_info,park_id,attendance,game_time_minutes,visiting_line_score,home_line_score,visiting_at_bats,visiting_hits,visiting_doubles,visiting_triples,visiting_homeruns,visiting_rbi,visiting_sac_hits,visiting_sac_flies,visiting_hit_by_pitch,visiting_walks,visiting_int_walks,visiting_strikeouts,visiting_stolen_bases,visiting_caught_stealing,visiting_gdp,visiting_interference,visiting_lob,visiting_pitchers_used,visiting_ind_er,visiting_team_er,visiting_wild_pitches,visiting_balks,visiting_putouts,visiting_assists,visiting_errors,visiting_passed_balls,visiting_double_plays,visiting_triple_plays,home_at_bats,home_hits,home_doubles,home_triples,home_homeruns,home_rbi,home_sac_hits,home_sac_flies,home_hit_by_pitch,home_walks,home_int_walks,home_strikeouts,home_stolen_bases,home_caught_stealing,home_gdp,home_interference,home_lob,home_pitchers_used,home_ind_er,home_team_er,home_wild_pitches,home_balks,home_putouts,home_assists,home_errors,home_passed_balls,home_double_plays,home_triple_plays,hp_ump_id,hp_ump_name,b1_ump_id,b1_ump_name,b2_ump_id,b2_ump_name,b3_ump_id,b3_ump_name,lf_ump_id,lf_ump_name,rf_ump_id,rf_ump_name,v_manager_id,v_manager_name,h_manager_id,h_manager_name,winning_pitcher_id,winning_pitcher_name,losing_pitcher_id,losing_pitcher_name,saving_pitcher_id,saving_pitcher_name,goahead_rbi_id,goahead_rbi_name,v_starting_pitcher_id,v_starting_pitcher_name,h_starting_pitcher_id,h_starting_pitcher_name,v_player_1_id,v_player_1_name,v_player_1_pos,v_player_2_id,v_player_2_name,v_player_2_pos,v_player_3_id,v_player_3_name,v_player_3_pos,v_player_4_id,v_player_4_name,v_player_4_pos,v_player_5_id,v_player_5_name,v_player_5_pos,v_player_6_id,v_player_6_name,v_player_6_pos,v_player_7_id,v_player_7_name,v_player_7_pos,v_player_8_id,v_player_8_name,v_player_8_pos,v_player_9_id,v_player_9_name,v_player_9_pos,h_player_1_id,h_player_1_name,h_player_1_pos,h_player_2_id,h_player_2_name,h_player_2_pos,h_player_3_id,h_player_3_name,h_player_3_pos,h_player_4_id,h_player_4_name,h_player_4_pos,h_player_5_id,h_player_5_name,h_player_5_pos,h_player_6_id,h_player_6_name,h_player_6_pos,h_player_7_id,h_player_7_name,h_player_7_pos,h_player_8_id,h_player_8_name,h_player_8_pos,h_player_9_id,h_player_9_name,h_player_9_pos,additional_info,acquisition_info,game_id,game_type,search_text,search_tsv,temp_f,sky,wind_direction,wind_speed_mph,precip,field_condition,start_time,used_dh
19150410,0,Sat,NEW,FL,1,BLF,FL,1,7,5,54,D,"","","",BAL10,18391,135,031002001,200000300,38,13,6,0,0,6,1,0,0,2,0,6,1,1,0,0,7,1,5,5,1,0,27,19,0,0,2,0,31,9,2,0,0,4,1,0,2,4,0,4,3,0,1,0,6,2,6,6,0,0,27,14,3,0,0,0,mccob104,Barry McCormick,westf901,Frederick Westervelt,"",(none),"",(none),"",(none),"",(none),philb101,Bill Phillips,knabo101,Otto Knabe,falkc101,Cy Falkenberg,quinj102,Jack Quinn,"",(none),"",(none),falkc101,Cy Falkenberg,quinj102,Jack Quinn,whitg103,Gil Whitehouse,9,mckeb101,Bill McKechnie,5,rouse101,Edd Roush,8,lapof101,Frank LaPorte,4,schag101,Germany Schaefer,3,esmoj101,Jimmy Esmond,6,schea102,Al Scheer,7,huhne101,Emil Huhn,2,falkc101,Cy Falkenberg,1,meyeb103,Benny Meyer,9,knabo101,Otto Knabe,4,duncv101,Vern Duncan,8,zinng101,Guy Zinn,7,swach101,Harry Swacina,3,walsj101,Jimmy Walsh,5,doolm101,Mickey Doolin,6,owenf101,Yip Owens,2,quinj102,Jack Quinn,1,"",Y,BLF191504100,regular,19150410 1915 BLF NEW   regular regular season BAL10 April     10 1915 Sat,"'10':10 '1915':2,11 '19150410':1 'april':9 'bal10':8 'blf':3 'new':4 'regular':5,6 'sat':12 'season':7",,sunny,,,none,dry,15:05:00,f
19150410,0,Sat,BUF,FL,1,BRF,FL,1,9,13,51,D,"","",V,NYC19,15441,190,100314000,01502023x,39,11,2,0,0,8,0,0,0,7,0,5,3,0,0,0,10,3,9,9,0,0,24,8,6,0,0,0,37,15,3,2,1,12,0,0,1,6,0,4,1,2,0,0,7,3,8,8,0,0,27,11,5,0,0,0,johnj901,Jim Johnstone,fyfel901,Lu Fyfe,"",(none),"",(none),"",(none),"",(none),schll101,Larry Schlafly,magel101,Lee Magee,seatt102,Tom Seaton,bedih101,Hugh Bedient,lafie101,Ed Lafitte,landg101,Grover Land,bedih101,Hugh Bedient,seatt102,Tom Seaton,aglej101,Joe Agler,8,loudb101,Baldy Louden,4,daltj101,Jack Dalton,7,chash101,Hal Chase,3,mcdot101,Tex McDonald,9,englc103,Clyde Engle,5,smitf103,Fred Smith,6,blaiw101,Walter Blair,2,bedih101,Hugh Bedient,1,andeg102,George Anderson,7,magel101,Lee Magee,4,kaufb101,Benny Kauff,8,evans101,Steve Evans,9,coopc101,Claude Cooper,3,wistt101,Tex Wisterzil,5,reedm101,Milt Reed,6,simom102,Mike Simon,2,seatt102,Tom Seaton,1,"",P,BRF191504100,regular,19150410 1915 BRF BUF   regular regular season NYC19 April     10 1915 Sat,"'10':10 '1915':2,11 '19150410':1 'april':9 'brf':3 'buf':4 'nyc19':8 'regular':5,6 'sat':12 'season':7",,sunny,,,none,dry,15:00:00,f
19150410,0,Sat,SLF,FL,1,CHF,FL,1,1,3,51,D,"","","",CHI11,16000,125,000010000,00000003x,31,4,0,2,0,1,0,0,0,4,0,5,0,0,0,0,7,1,3,3,0,0,24,9,0,0,0,0,30,7,3,0,0,3,2,0,0,1,0,6,0,0,0,0,6,1,1,1,0,0,27,12,1,0,0,0,finnw901,Bill Finneran,howeh101,Harry Howell,"",(none),"",(none),"",(none),"",(none),jonef102,Fielder Jones,tinkj101,Joe Tinker,hendc101,Claude Hendrix,plane101,Eddie Plank,"",(none),wilsa102,Art Wilson,plane101,Eddie Plank,hendc101,Claude Hendrix,tobij101,Jack Tobin,9,brida101,Al Bridwell,4,drakd101,Delos Drake,8,bortb101,Babe Borton,3,millw104,Ward Miller,7,hartg102,Grover Hartley,2,dealc102,Charlie Deal,5,johne102,Ernie Johnson,6,plane101,Eddie Plank,1,wicka101,Al Wickland,9,mannl101,Les Mann,7,zwild101,Dutch Zwilling,8,wilsa102,Art Wilson,2,zeidr101,Rollie Zeider,5,beckf101,Fred Beck,3,smitj107,Jimmy Smith,6,farrj104,Jack Farrell,4,hendc101,Claude Hendrix,1,"",Y,CHF191504100,regular,19150410 1915 CHF SLF   regular regular season CHI11 April     10 1915 Sat,"'10':10 '1915':2,11 '19150410':1 'april':9 'chf':3 'chi11':8 'regular':5,6 'sat':12 'season':7 'slf':4",,sunny,,,none,dry,15:00:00,f
19150410,0,Sat,PTF,FL,1,KCF,FL,1,8,0,54,D,"","","",KAN04,11000,120,000050111,000000000,36,9,1,0,1,7,2,0,2,2,0,3,0,1,0,0,7,1,0,0,0,0,27,10,0,0,0,0,32,7,1,0,0,0,1,0,0,2,0,4,0,1,0,0,8,2,3,3,0,0,27,17,5,0,0,0,brenb901,Bill Brennan,shans101,Spike Shannon,"",(none),"",(none),"",(none),"",(none),oaker101,Rebel Oakes,stovg101,George Stovall,allef101,Frank Allen,maina101,Alex Main,"",(none),"",(none),allef101,Frank Allen,maina101,Alex Main,menom101,Mike Menosky,7,bergm101,Marty Berghammer,6,mowrm101,Mike Mowrey,5,konee101,Ed Konetchy,3,oaker101,Rebel Oakes,8,yerks101,Steve Yerkes,4,kellj105,Jim Kelly,9,oconp102,Paddy O'Connor,2,allef101,Frank Allen,1,chadc101,Chet Chadbourne,8,gilmg101,Grover Gilmore,9,kruga101,Art Kruger,7,kenwd101,Duke Kenworthy,4,stovg101,George Stovall,3,perrg102,George Perring,5,rawlj101,Johnny Rawlings,6,eastt101,Ted Easterly,2,maina101,Alex Main,1,"",Y,KCF191504100,regular,19150410 1915 KCF PTF   regular regular season KAN04 April     10 1915 Sat,"'10':10 '1915':2,11 '19150410':1 'april':9 'kan04':8 'kcf':3 'ptf':4 'regular':5,6 'sat':12 'season':7",,cloudy,,,none,wet,15:35:00,f
19150411,0,Sun,PTF,FL,2,KCF,FL,2,2,5,51,D,"","","",KAN04,7000,115,000101000,02200100x,35,10,1,0,0,2,1,0,0,0,0,5,1,1,0,0,7,2,1,1,0,0,24,3,4,0,0,0,27,4,2,0,1,2,2,0,1,1,0,0,0,1,0,0,2,1,1,1,0,0,27,3,1,1,0,0,brenb901,Bill Brennan,shans101,Spike Shannon,"",(none),"",(none),"",(none),"",(none),oaker101,Rebel Oakes,stovg101,George Stovall,johnc102,Chief Johnson,roggc101,Clint Rogge,"",(none),"",(none),roggc101,Clint Rogge,johnc102,Chief Johnson,menom101,Mike Menosky,7,bergm101,Marty Berghammer,6,mowrm101,Mike Mowrey,5,konee101,Ed Konetchy,3,oaker101,Rebel Oakes,8,yerks101,Steve Yerkes,4,kellj105,Jim Kelly,9,oconp102,Paddy O'Connor,2,roggc101,Clint Rogge,1,chadc101,Chet Chadbourne,8,gilmg101,Grover Gilmore,9,shawa102,Al Shaw,7,kenwd101,Duke Kenworthy,4,stovg101,George Stovall,3,perrg102,George Perring,5,rawlj101,Johnny Rawlings,6,eastt101,Ted Easterly,2,johnc102,Chief Johnson,1,"",P,KCF191504110,regular,19150411 1915 KCF PTF   regular regular season KAN04 April     11 1915 Sun,"'11':10 '1915':2,11 '19150411':1 'april':9 'kan04':8 'kcf':3 'ptf':4 'regular':5,6 'season':7 'sun':12",,,,,,,,f
19150412,0,Mon,NEW,FL,2,BLF,FL,2,8,5,54,D,"","","",BAL10,3300,105,011123000,200002001,35,10,1,1,0,6,1,0,0,2,1,0,2,2,0,0,3,1,5,5,0,0,27,12,1,0,2,0,38,14,2,0,0,5,1,0,1,2,0,2,0,1,1,0,10,3,6,6,1,0,27,19,2,0,0,0,mccob104,Barry McCormick,westf901,Frederick Westervelt,"",(none),"",(none),"",(none),"",(none),philb101,Bill Phillips,knabo101,Otto Knabe,kaisg101,George Kaiserling,smitf106,Frank Smith,"",(none),"",(none),kaisg101,George Kaiserling,smitf106,Frank Smith,campv101,Vin Campbell,9,mckeb101,Bill McKechnie,5,rouse101,Edd Roush,8,lapof101,Frank LaPorte,4,schag101,Germany Schaefer,3,esmoj101,Jimmy Esmond,6,schea102,Al Scheer,7,huhne101,Emil Huhn,2,kaisg101,George Kaiserling,1,meyeb103,Benny Meyer,9,knabo101,Otto Knabe,4,duncv101,Vern Duncan,8,zinng101,Guy Zinn,7,swach101,Harry Swacina,3,walsj101,Jimmy Walsh,5,doolm101,Mickey Doolin,6,owenf101,Yip Owens,2,smitf106,Frank Smith,1,"",Y,BLF191504120,regular,19150412 1915 BLF NEW   regular regular season BAL10 April     12 1915 Mon,"'12':10 '1915':2,11 '19150412':1 'april':9 'bal10':8 'blf':3 'mon':12 'new':4 'regular':5,6 'season':7",,,,,,,,f
19150412,0,Mon,BUF,FL,2,BRF,FL,2,5,7,51,D,"","","",NYC19,500,162,300000101,04110100x,33,6,0,0,0,3,1,0,0,13,0,4,3,0,1,0,15,4,6,6,0,0,24,9,2,0,1,0,29,8,3,0,0,6,1,0,2,11,0,1,4,1,1,0,12,2,1,1,0,0,27,9,3,0,1,0,johnj901,Jim Johnstone,fyfel901,Lu Fyfe,"",(none),"",(none),"",(none),"",(none),schll101,Larry Schlafly,magel101,Lee Magee,lafie101,Ed Lafitte,krapg101,Gene Krapp,uphab101,Bill Upham,kaufb101,Benny Kauff,krapg101,Gene Krapp,lafie101,Ed Lafitte,aglej101,Joe Agler,8,loudb101,Baldy Louden,4,daltj101,Jack Dalton,7,chash101,Hal Chase,3,mcdot101,Tex McDonald,9,englc103,Clyde Engle,5,smitf103,Fred Smith,6,blaiw101,Walter Blair,2,krapg101,Gene Krapp,1,andeg102,George Anderson,7,gagne101,Ed Gagnier,4,kaufb101,Benny Kauff,8,evans101,Steve Evans,9,coopc101,Claude Cooper,3,wistt101,Tex Wisterzil,5,reedm101,Milt Reed,6,landg101,Grover Land,2,lafie101,Ed Lafitte,1,"",P,BRF191504120,regular,19150412 1915 BRF BUF   regular regular season NYC19 April     12 1915 Mon,"'12':10 '1915':2,11 '19150412':1 'april':9 'brf':3 'buf':4 'mon':12 'nyc19':8 'regular':5,6 'season':7",,sunny,,,none,dry,,f
19150412,0,Mon,PTF,FL,3,KCF,FL,3,0,3,51,D,"","","",KAN04,1300,90,000000000,01100100x,31,6,2,0,0,0,0,0,0,2,0,5,0,1,0,0,6,2,2,2,0,0,24,19,1,0,0,0,30,8,3,2,0,2,1,0,0,0,0,2,0,1,0,0,4,1,0,0,1,0,27,18,0,0,1,0,brenb901,Bill Brennan,shans101,Spike Shannon,"",(none),"",(none),"",(none),"",(none),oaker101,Rebel Oakes,stovg101,George Stovall,culln101,Nick Cullop,hearb102,Bunny Hearn,"",(none),rawlj101,Johnny Rawlings,hearb102,Bunny Hearn,culln101,Nick Cullop,menom101,Mike Menosky,7,bergm101,Marty Berghammer,6,mowrm101,Mike Mowrey,5,konee101,Ed Konetchy,3,oaker101,Rebel Oakes,8,yerks101,Steve Yerkes,4,kellj105,Jim Kelly,9,berrc101,Claude Berry,2,hearb102,Bunny Hearn,1,chadc101,Chet Chadbourne,8,gilmg101,Grover Gilmore,9,kruga101,Art Kruger,7,kenwd101,Duke Kenworthy,4,stovg101,George Stovall,3,perrg102,George Perring,5,rawlj101,Johnny Rawlings,6,eastt101,Ted Easterly,2,culln101,Nick Cullop,1,"",Y,KCF191504120,regular,19150412 1915 KCF PTF   regular regular season KAN04 April     12 1915 Mon,"'12':10 '1915':2,11 '19150412':1 'april':9 'kan04':8 'kcf':3 'mon':12 'ptf':4 'regular':5,6 'season':7",,,,,,,,f
19150413,0,Tue,NEW,FL,3,BLF,FL,3,3,1,54,D,"","","",BAL10,2200,130,010010100,000001000,28,8,3,0,1,3,4,0,0,5,0,5,2,2,1,0,7,1,1,1,0,0,27,20,0,0,2,0,32,7,2,0,0,1,0,0,0,5,0,1,2,0,2,0,9,1,3,3,0,0,27,14,0,0,1,0,mccob104,Barry McCormick,westf901,Frederick Westervelt,"",(none),"",(none),"",(none),"",(none),philb101,Bill Phillips,knabo101,Otto Knabe,mullg102,George Mullin,bendc101,Chief Bender,"",(none),lapof101,Frank LaPorte,mullg102,George Mullin,bendc101,Chief Bender,campv101,Vin Campbell,9,mckeb101,Bill McKechnie,5,rouse101,Edd Roush,8,lapof101,Frank LaPorte,4,schag101,Germany Schaefer,3,esmoj101,Jimmy Esmond,6,schea102,Al Scheer,7,huhne101,Emil Huhn,2,mullg102,George Mullin,1,meyeb103,Benny Meyer,9,knabo101,Otto Knabe,4,duncv101,Vern Duncan,8,zinng101,Guy Zinn,7,swach101,Harry Swacina,3,walsj101,Jimmy Walsh,5,doolm101,Mickey Doolin,6,owenf101,Yip Owens,2,bendc101,Chief Bender,1,"",Y,BLF191504130,regular,19150413 1915 BLF NEW   regular regular season BAL10 April     13 1915 Tue,"'13':10 '1915':2,11 '19150413':1 'april':9 'bal10':8 'blf':3 'new':4 'regular':5,6 'season':7 'tue':12",,,,,,,,f
19150413,0,Tue,BUF,FL,3,BRF,FL,3,5,4,54,D,"","","",NYC19,,135,100200200,004000000,32,8,1,0,0,4,2,0,0,8,0,1,2,3,0,0,10,1,2,2,0,0,27,9,4,0,0,0,29,3,1,1,0,2,2,0,0,8,0,7,1,1,0,0,8,2,2,2,0,0,27,13,5,0,1,0,johnj901,Jim Johnstone,fyfel901,Lu Fyfe,"",(none),"",(none),"",(none),"",(none),schll101,Larry Schlafly,magel101,Lee Magee,schua102,Al Schulz,bluej101,Jim Bluejacket,"",(none),englc103,Clyde Engle,schua102,Al Schulz,bluej101,Jim Bluejacket,aglej101,Joe Agler,8,loudb101,Baldy Louden,4,daltj101,Jack Dalton,7,chash101,Hal Chase,3,yound104,Del Young,9,englc103,Clyde Engle,5,smitf103,Fred Smith,6,allen101,Nick Allen,2,schua102,Al Schulz,1,andeg102,George Anderson,7,gagne101,Ed Gagnier,4,kaufb101,Benny Kauff,8,evans101,Steve Evans,9,coopc101,Claude Cooper,3,wistt101,Tex Wisterzil,5,reedm101,Milt Reed,6,landg101,Grover Land,2,bluej101,Jim Bluejacket,1,"",P,BRF191504130,regular,19150413 1915 BRF BUF   regular regular season NYC19 April     13 1915 Tue,"'13':10 '1915':2,11 '19150413':1 'april':9 'brf':3 'buf':4 'nyc19':8 'regular':5,6 'season':7 'tue':12",,,,,,,,f
