date,game_number,day_of_week,visiting_team,visiting_team_league,visiting_team_game_number,home_team,home_team_league,home_team_game_number,visiting_score,home_score,game_length_outs,day_night,completion_info,forfeit_info,protest_info,park_id,attendance,game_time_minutes,visiting_line_score,home_line_score,visiting_at_bats,visiting_hits,visiting_doubles,visiting_triples,visiting_homeruns,visiting_rbi,visiting_sac_hits,visiting_sac_flies,visiting_hit_by_pitch,visiting_walks,visiting_int_walks,visiting_strikeouts,visiting_stolen_bases,visiting_caught_stealing,visiting_gdp,visiting_interference,visiting_lob,visiting_pitchers_used,visiting_ind_er,visiting_team_er,visiting_wild_pitches,visiting_balks,visiting_putouts,visiting_assists,visiting_errors,visiting_passed_balls,visiting_double_plays,visiting_triple_plays,home_at_bats,home_hits,home_doubles,home_triples,home_homeruns,home_rbi,home_sac_hits,home_sac_flies,home_hit_by_pitch,home_walks,home_int_walks,home_strikeouts,home_stolen_bases,home_caught_stealing,home_gdp,home_interference,home_lob,home_pitchers_used,home_ind_er,home_team_er,home_wild_pitches,home_balks,home_putouts,home_assists,home_errors,home_passed_balls,home_double_plays,home_triple_plays,hp_ump_id,hp_ump_name,b1_ump_id,b1_ump_name,b2_ump_id,b2_ump_name,b3_ump_id,b3_ump_name,lf_ump_id,lf_ump_name,rf_ump_id,rf_ump_name,v_manager_id,v_manager_name,h_manager_id,h_manager_name,winning_pitcher_id,winning_pitcher_name,losing_pitcher_id,losing_pitcher_name,saving_pitcher_id,saving_pitcher_name,goahead_rbi_id,goahead_rbi_name,v_starting_pitcher_id,v_starting_pitcher_name,h_starting_pitcher_id,h_starting_pitcher_name,v_player_1_id,v_player_1_name,v_player_1_pos,v_player_2_id,v_player_2_name,v_player_2_pos,v_player_3_id,v_player_3_name,v_player_3_pos,v_player_4_id,v_player_4_name,v_player_4_pos,v_player_5_id,v_player_5_name,v_player_5_pos,v_player_6_id,v_player_6_name,v_player_6_pos,v_player_7_id,v_player_7_name,v_player_7_pos,v_player_8_id,v_player_8_name,v_player_8_pos,v_player_9_id,v_player_9_name,v_player_9_pos,h_player_1_id,h_player_1_name,h_player_1_pos,h_player_2_id,h_player_2_name,h_player_2_pos,h_player_3_id,h_player_3_name,h_player_3_pos,h_player_4_id,h_player_4_name,h_player_4_pos,h_player_5_id,h_player_5_name,h_player_5_pos,h_player_6_id,h_player_6_name,h_player_6_pos,h_player_7_id,h_player_7_name,h_player_7_pos,h_player_8_id,h_player_8_name,h_player_8_pos,h_player_9_id,h_player_9_name,h_player_9_pos,additional_info,acquisition_info,game_id,game_type,search_text,search_tsv,temp_f,sky,wind_direction,wind_speed_mph,precip,field_condition,start_time,used_dh
19470411,0,,BIR,NAL,,KCM,NAL,,4,1,,night,,,,WAC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poweb103,,napol101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCM194704110,exhibition,,,,,,,,,,
19470412,0,,IN9,NAL,,MEM,NAL,,3,13,,,,,,MEM02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pearf104,,howac102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM194704120,exhibition,,,,,,,,,,
19470413,0,,CAG,NNL,,BLG,NAL,,1,4,,day,,,,NSH02,0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rombb101,,mccow102,,perej104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLG194704130,exhibition,,,,,,,,,,f
19470413,1,,IN9,NAL,,MEM,NAL,,0,3,,,,,,MEM02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bankd101,,cohej101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM194704131,exhibition,,,,,,,,,,
19470413,2,,IN9,NAL,,MEM,NAL,,1,0,,,,,,MEM02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colzj101,,hubej101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM194704132,exhibition,,,,,,,,,,
19470416,0,,HOM,NN2,,BIR,NAL,,4,6,,night,,,,BIR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newbj101,,popew101,,perra101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIR194704160,exhibition,,,,,,,,,,f
19470417,0,,HOM,NN2,,BIR,NAL,,17,8,,night,,,,BIR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fielw101,,polln102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIR194704170,exhibition,,,,,,,,,,f
19470417,0,,IN9,NAL,,MEM,NAL,,2,5,,night,,,,OKC02,750,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fielu901,,deweu901,,,,,,,,,,,,,,pearf104,,howac102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM194704170,exhibition,,,,,,,,,,f
19470418,0,,CVB,NAL,,BIR,NAL,,11,10,,night,,,,MTG01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIR194704180,exhibition,,,,,,,,,,f
19470419,0,,CVB,NAL,,MEM,NAL,,14,3,,day,,,,FTW01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM194704190,exhibition,,,,,,,,,,
