ID,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,bbrefID,finalGame,retroID
661,baderha01,1994,6,3,Bronxville,USA,NY,,,,,,,Harrison,Bader,Harrison Joseph,210,72,R,R,2017-07-25,baderha01,,badeh001
871,barneau01,1989,12,28,Fullerton,USA,CA,,,,,,,Austin,Barnes,Austin Scott,187,70,R,R,2015-05-24,barneau01,,barna001
1038,bauerja01,1995,10,6,Newport Beach,USA,CA,,,,,,,Jake,Bauers,Jakob Christopher,195,73,L,L,2018-06-07,bauerja01,,bauej001
1408,bettsmo01,1992,10,7,Brentwood,USA,TN,,,,,,,Mookie,Betts,Markus Lynn,180,69,R,R,2014-06-29,bettsmo01,,bettm001
2613,cabreos01,1999,3,1,Guarenas,Venezuela,Miranda,,,,,,,Oswaldo,Cabrera,Oswaldo Alberto,200,72,B,R,2022-08-17,cabreos01,,cabro002
2650,calhowi01,1994,11,4,Vallejo,USA,CA,,,,,,,Willie,Calhoun,Willie Shawn Lamont,200,68,L,R,2017-09-12,calhowi01,,calhw001
3934,crawfjp01,1995,1,11,Long Beach,USA,CA,,,,,,,J. P.,Crawford,John Paul,202,74,L,R,2017-09-05,crawfjp01,,crawj002
4851,donaljo02,1985,12,8,Pensacola,USA,FL,,,,,,,Josh,Donaldson,Joshua Adam,210,73,R,R,2010-04-30,donaljo02,2023-10-01,donaj001
6008,fordmi01,1992,7,4,Belle Mead,USA,NJ,,,,,,,Mike,Ford,Michael Harrison,225,72,L,R,2019-04-18,fordmi01,,fordm002
6110,francty01,1994,7,13,Downey,USA,CA,,,,,,,Ty,France,Tyler Lawrence,215,71,R,R,2019-04-26,francty01,,frant002
6153,freemfr01,1989,9,12,Fountain Valley,USA,CA,,,,,,,Freddie,Freeman,Frederick Charles,220,77,L,R,2010-09-01,freemfr01,,freef001
8154,hernaen02,1991,8,24,San Juan,P.R.,,,,,,,,Enrique,Hernandez,Enrique J.,190,71,R,R,2014-07-01,hernaen02,,herne001
