playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abreual01,2023,1,NYA,AL,2,2,45,0,0,0,0,177,52,31,9,35,61,0.231,4.73,1,5,6,0,268,19,39,0,1,4
adcocty01,2023,1,SEA,AL,0,0,12,0,0,0,0,47,11,6,4,0,11,0.19,3.45,0,0,0,0,58,4,7,0,0,1
almonye01,2023,1,LAN,NL,3,2,49,0,0,0,0,144,43,27,6,24,49,0.239,5.06,2,3,4,0,208,5,30,0,0,7
bazared01,2023,2,SEA,AL,0,0,9,0,0,0,0,41,9,4,2,4,14,0.18,2.63,0,0,0,0,54,2,4,0,0,0
berropr01,2023,1,SEA,AL,0,0,2,0,0,0,0,5,0,0,0,3,3,0,0,0,1,0,0,8,0,0,0,0,0
bickfph01,2023,1,LAN,NL,2,3,36,0,0,0,0,126,38,24,5,26,48,0.235,5.14,3,3,0,1,190,12,27,1,1,1
bowmama01,2023,1,NYA,AL,0,0,3,0,0,0,0,12,6,4,1,2,3,0.353,9,1,1,0,0,20,1,4,0,1,0
brashma01,2023,1,SEA,AL,9,4,78,0,0,0,4,212,65,24,3,29,107,0.242,3.06,0,11,6,0,308,7,26,0,4,3
brasiry01,2023,2,LAN,NL,2,0,39,0,0,0,1,116,18,3,1,10,38,0.14,0.7,1,1,1,0,143,5,6,0,3,5
breweco01,2023,1,NYA,AL,0,0,3,0,0,0,0,25,6,4,3,3,4,0.2,4.32,0,1,1,0,34,1,4,0,0,1
britojh01,2023,1,NYA,AL,9,7,25,13,0,0,1,271,82,43,14,28,72,0.244,4.28,0,0,4,1,372,1,47,0,4,9
bruihju01,2023,1,LAN,NL,1,0,20,0,0,0,0,73,24,11,2,8,19,0.264,4.07,1,2,2,0,102,9,11,0,1,2
bukaujb01,2023,1,SEA,AL,0,0,1,0,0,0,0,3,2,1,0,2,1,0.4,9,1,1,0,0,7,0,2,0,0,0
campbis01,2023,1,SEA,AL,4,1,27,0,0,0,1,86,22,9,2,13,33,0.21,2.83,1,2,1,1,120,9,9,0,1,5
castidi01,2023,1,SEA,AL,0,0,8,0,0,0,0,26,7,6,2,7,7,0.212,6.23,0,0,1,0,41,1,6,0,0,0
castilu02,2023,1,SEA,AL,14,9,33,33,0,0,0,591,160,73,28,56,219,0.218,3.34,0,3,5,0,802,0,81,1,5,2
colege01,2023,1,NYA,AL,15,4,33,33,2,2,0,627,157,61,20,48,222,0.206,2.63,0,4,7,1,821,0,64,2,2,14
cordeji01,2023,1,NYA,AL,3,2,31,1,0,0,0,98,25,14,2,10,34,0.208,3.86,0,5,2,1,132,6,14,0,0,3
cortene01,2023,1,NYA,AL,5,2,12,12,0,0,0,190,59,35,11,20,67,0.244,4.97,0,0,3,0,266,0,36,0,1,5
coveydy01,2023,1,LAN,NL,0,0,1,0,0,0,0,12,5,2,2,1,3,0.294,4.5,0,0,0,0,18,0,2,0,0,0
cyrty01,2023,1,LAN,NL,0,0,2,0,0,0,0,5,1,0,0,0,2,0.167,0,0,0,0,0,6,2,0,0,0,0
donaljo02,2023,1,NYA,AL,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
ferguca01,2023,1,LAN,NL,7,4,68,7,0,0,3,181,64,23,4,23,70,0.269,3.43,0,3,8,0,270,9,30,0,1,8
festama01,2023,1,SEA,AL,0,0,8,0,0,0,0,27,4,4,1,12,13,0.129,4,0,1,0,0,43,4,4,0,0,0
flexech01,2023,1,SEA,AL,0,4,17,4,0,0,0,126,59,36,11,19,29,0.333,7.71,0,2,0,0,196,9,36,0,0,4
fordmi01,2023,1,SEA,AL,0,0,2,0,0,0,0,6,5,4,2,1,0,0.455,18,0,0,0,0,12,2,4,0,0,0
garcide01,2023,1,NYA,AL,0,0,2,0,0,0,1,17,4,1,1,4,3,0.2,1.59,0,0,0,0,25,1,1,0,1,0
germado01,2023,1,NYA,AL,5,7,20,19,1,1,0,326,83,55,20,34,114,0.207,4.56,0,2,6,0,444,1,61,0,3,6
gilbelo01,2023,1,SEA,AL,13,7,32,32,1,1,0,572,169,79,29,36,189,0.233,3.73,1,6,2,0,770,0,82,3,5,9
gomezyo01,2023,1,NYA,AL,0,0,1,0,0,0,0,6,1,0,0,0,4,0.143,0,0,0,1,0,8,1,0,0,0,0
gonsoto01,2023,1,LAN,NL,8,5,20,20,0,0,0,309,86,57,19,40,82,0.226,4.98,1,2,7,0,435,0,61,2,5,8
gonzama02,2023,1,SEA,AL,4,1,10,10,0,0,0,150,55,29,5,18,34,0.282,5.22,0,0,0,0,215,0,32,0,2,7
gonzavi02,2023,1,LAN,NL,3,3,34,1,0,0,0,101,27,15,2,10,30,0.223,4.01,1,1,3,0,135,7,15,0,1,5
gotttr01,2023,1,SEA,AL,0,3,30,0,0,0,0,87,33,13,2,8,32,0.277,4.03,1,0,2,0,129,4,19,0,0,2
gratebr01,2023,1,LAN,NL,4,2,68,1,0,0,7,202,53,9,3,12,48,0.221,1.2,1,2,2,0,257,19,14,0,2,11
grovemi01,2023,1,LAN,NL,2,3,18,12,0,0,0,207,83,47,12,19,73,0.296,6.13,0,3,3,0,302,1,47,0,0,5
hamilia01,2023,1,NYA,AL,3,2,39,3,0,0,2,174,45,17,2,26,69,0.215,2.64,1,1,3,0,239,6,19,0,1,6
hancoem01,2023,1,SEA,AL,0,0,3,3,0,0,0,36,13,6,1,3,6,0.283,4.5,0,0,0,0,49,0,6,0,0,2
hernayo02,2023,1,LAN,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0,0,0,0,0,4,1,0,0,0,0
holmecl01,2023,1,NYA,AL,4,4,66,0,0,0,24,189,51,20,2,23,71,0.218,2.86,0,5,3,1,262,41,22,0,2,6
hudsobr01,2023,1,LAN,NL,0,0,6,0,0,0,0,26,12,7,1,4,7,0.316,7.27,0,0,1,0,44,5,7,0,1,0
hudsoda01,2023,1,LAN,NL,0,0,3,0,0,0,1,9,2,0,0,3,5,0.182,0,0,0,0,0,14,1,0,0,0,0
hurtky01,2023,1,LAN,NL,0,0,1,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,6,1,0,0,0,0
jacksan01,2023,1,LAN,NL,0,0,7,0,0,0,2,53,22,13,5,3,16,0.289,6.62,0,0,0,0,79,5,13,0,0,0
kahnlto01,2023,1,NYA,AL,1,3,42,0,0,0,2,122,26,12,5,19,48,0.183,2.66,0,3,1,0,165,9,14,1,2,4
kellyjo05,2023,2,LAN,NL,1,0,11,0,0,0,0,31,3,2,0,6,19,0.088,1.74,0,2,0,0,40,2,3,0,0,1
kershcl01,2023,1,LAN,NL,13,5,24,24,0,0,0,395,100,36,19,40,137,0.209,2.46,0,6,3,2,523,0,39,0,1,16
kineris01,2023,1,NYA,AL,0,0,4,0,0,0,0,12,4,1,0,0,1,0.25,2.25,0,0,0,0,16,4,1,0,0,0
kingmi01,2023,1,NYA,AL,4,8,49,9,0,0,6,314,88,32,10,32,127,0.226,2.75,1,2,5,1,431,10,35,3,1,9
kirbyge01,2023,1,SEA,AL,13,10,31,31,1,0,0,572,179,71,22,19,172,0.246,3.35,1,1,6,0,757,0,74,2,3,18
kolarad01,2023,1,LAN,NL,0,0,1,0,0,0,0,4,1,0,0,0,2,0.2,0,0,0,0,0,5,0,0,0,0,0
