gid,event,inning,top_bot,vis_home,site,batteam,pitteam,score_v,score_h,batter,pitcher,lp,bat_f,bathand,pithand,balls,strikes,count,pitches,nump,pa,ab,single,double,triple,hr,sh,sf,hbp,walk,k,xi,roe,fc,othout,noout,oth,bip,bunt,ground,fly,line,iw,gdp,othdp,tp,fle,wp,pb,bk,oa,di,sb2,sb3,sbh,cs2,cs3,csh,pko1,pko2,pko3,k_safe,e1,e2,e3,e4,e5,e6,e7,e8,e9,outs_pre,outs_post,br1_pre,br2_pre,br3_pre,br1_post,br2_post,br3_post,lob_id1,lob_id2,lob_id3,pr1_pre,pr2_pre,pr3_pre,pr1_post,pr2_post,pr3_post,run_b,run1,run2,run3,prun_b,prun1,prun2,prun3,ur_b,ur1,ur2,ur3,rbi_b,rbi1,rbi2,rbi3,runs,rbi,er,tur,l1,l2,l3,l4,l5,l6,l7,l8,l9,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,f2,f3,f4,f5,f6,f7,f8,f9,po0,po1,po2,po3,po4,po5,po6,po7,po8,po9,a1,a2,a3,a4,a5,a6,a7,a8,a9,fseq,batout1,batout2,batout3,brout_b,brout1,brout2,brout3,firstf,loc,hittype,dpopp,pivot,pn,umphome,ump1b,ump2b,ump3b,umplf,umprf,date,gametype,pbp,home_team_league,visiting_team_league
CLE202304090,53/G5,1,0,0,CLE08,SEA,CLE,0,0,rodrj007,plesz001,1,8,R,R,0,1,1,FX,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,5,0,0,0,0,0,0,5,5+,G,0,0,1,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,S8/L89D+,1,0,0,CLE08,SEA,CLE,0,0,frant002,plesz001,2,3,R,R,0,1,1,CX,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,frant002,,,,,,,,,plesz001,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,89D+,L,0,0,2,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,8/F8XD+,1,0,0,CLE08,SEA,CLE,0,0,suare001,plesz001,3,5,R,R,2,0,20,*BBX,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,frant002,,,frant002,,,,,,plesz001,,,plesz001,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,8XD+,F,0,0,3,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,HR/F9D.1-H,1,0,0,CLE08,SEA,CLE,0,0,ralec001,plesz001,4,2,B,R,1,1,11,CBX,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,frant002,,,,,,,,,plesz001,,,,,,ralec001,frant002,,,plesz001,plesz001,,,0,0,0,0,1,1,0,0,2,2,2,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,4,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,63/G6,1,0,0,CLE08,SEA,CLE,2,0,hernt002,plesz001,5,10,R,R,0,2,2,SSX,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,6,0,0,0,0,0,0,6,6+,G,0,0,5,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,T7/L7L,1,1,1,CLE08,CLE,SEA,2,0,kwans001,kirbg001,1,7,L,R,1,2,12,CFBX,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,kwans001,,,,,,,,,kirbg001,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,kwans001,rosaa003,ramij003,naylj001,gimea001,bellj005,brenw002,stram002,gallc001,7,6,5,10,4,3,9,8,2,ralec001,frant002,wongk001,suare001,crawj002,polla001,rodrj007,kelej001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,7L+,L,0,0,6,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,3/L34,1,1,1,CLE08,CLE,SEA,2,0,rosaa003,kirbg001,2,6,R,R,3,1,31,SBBBX,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,kwans001,,,kwans001,,,,,,kirbg001,,,kirbg001,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,kwans001,rosaa003,ramij003,naylj001,gimea001,bellj005,brenw002,stram002,gallc001,7,6,5,10,4,3,9,8,2,ralec001,frant002,wongk001,suare001,crawj002,polla001,rodrj007,kelej001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,34+,L,0,0,7,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,8/SF/F8.3-H,1,1,1,CLE08,CLE,SEA,2,0,ramij003,kirbg001,3,5,B,R,0,1,1,FX,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,kwans001,,,,,,,,,kirbg001,,,,,,,kwans001,,,,kirbg001,0,0,0,0,0,0,0,1,1,1,1,0,kwans001,rosaa003,ramij003,naylj001,gimea001,bellj005,brenw002,stram002,gallc001,7,6,5,10,4,3,9,8,2,ralec001,frant002,wongk001,suare001,crawj002,polla001,rodrj007,kelej001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,8+,F,0,0,8,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,9/F9D,1,1,1,CLE08,CLE,SEA,2,1,naylj001,kirbg001,4,10,L,R,3,2,32,CFFBBBFX,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,kwans001,rosaa003,ramij003,naylj001,gimea001,bellj005,brenw002,stram002,gallc001,7,6,5,10,4,3,9,8,2,ralec001,frant002,wongk001,suare001,crawj002,polla001,rodrj007,kelej001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,9,9D+,F,0,0,9,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,K,2,0,0,CLE08,SEA,CLE,2,1,kelej001,plesz001,6,9,L,R,1,2,12,BFCS,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,0,0,10,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
