yearID,teamID,lgID,playerID,salary
2012,NYA,AL,aardsda01,500000
2011,SEA,AL,aardsda01,4500000
2010,SEA,AL,aardsda01,2750000
2009,SEA,AL,aardsda01,419000
2008,BOS,AL,aardsda01,403250
2007,CHA,AL,aardsda01,387500
2004,SFN,NL,aardsda01,300000
1989,NYN,NL,aasedo01,400000
1988,BAL,AL,aasedo01,675000
1987,BAL,AL,aasedo01,625000
1986,BAL,AL,aasedo01,600000
2006,CIN,NL,abadan01,327000
2016,MIN,AL,abadfe01,1250000
2015,OAK,AL,abadfe01,1087500
2014,OAK,AL,abadfe01,525900
2012,HOU,NL,abadfe01,485000
2011,HOU,NL,abadfe01,418000
2001,FLO,NL,abbotje01,300000
2000,CHA,AL,abbotje01,255000
1999,CHA,AL,abbotje01,255000
